,party,result,council,region
1226,Радикальна партія Олега Ляшка,7.69,Фрунзівська районна рада,Одеська обл.
1227,"Партія ""Відродження""",7.69,Фрунзівська районна рада,Одеська обл.
1228,"Політична партія ""Наш край""",7.69,Фрунзівська районна рада,Одеська обл.
1293,"Політична Партія ""Опозиційний блок""",23.53,Татарбунарська районна рада,Одеська обл.
1297,"Політична партія ""Наш край""",32.35,Тарутинська районна рада,Одеська обл.
1298,"Політична партія ""Наш край""",29.41,Саратська районна рада,Одеська обл.
1299,Аграрна партія України,19.23,Савранська районна рада,Одеська обл.
1301,"Політична Партія ""Опозиційний блок""",29.41,Роздільнянська районна рада,Одеська обл.
1302,"Політична Партія ""Опозиційний блок""",23.53,Ренійська районна рада,Одеська обл.
1312,Аграрна партія України,20.59,Татарбунарська районна рада,Одеська обл.
1313,"Політична партія ""Наш край""",17.65,Татарбунарська районна рада,Одеська обл.
1314,"Партія ""Відродження""",14.71,Татарбунарська районна рада,Одеська обл.
1315,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Татарбунарська районна рада,Одеська обл.
1316,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Татарбунарська районна рада,Одеська обл.
1317,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ""",23.53,Тарутинська районна рада,Одеська обл.
1318,"Політична Партія ""Опозиційний блок""",14.71,Тарутинська районна рада,Одеська обл.
1319,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Тарутинська районна рада,Одеська обл.
1320,"Партія ""Відродження""",20.59,Саратська районна рада,Одеська обл.
1321,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Саратська районна рада,Одеська обл.
1322,Аграрна партія України,14.71,Саратська районна рада,Одеська обл.
1323,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Саратська районна рада,Одеська обл.
1324,"Політична Партія ""Опозиційний блок""",5.88,Саратська районна рада,Одеська обл.
1325,"Партія ""Відродження""",19.23,Савранська районна рада,Одеська обл.
1326,"політична партія Всеукраїнське об’єднання ""Батьківщина""",19.23,Савранська районна рада,Одеська обл.
1327,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",15.38,Савранська районна рада,Одеська обл.
1328,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Роздільнянська районна рада,Одеська обл.
1329,"Партія ""Відродження""",11.76,Роздільнянська районна рада,Одеська обл.
1330,"Політична партія ""Наш край""",23.53,Ренійська районна рада,Одеська обл.
1331,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",14.71,Ренійська районна рада,Одеська обл.
1332,"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Ренійська районна рада,Одеська обл.
1333,Аграрна партія України,11.76,Ренійська районна рада,Одеська обл.
1337,Аграрна партія України,33.33,Овідіопольська районна рада,Одеська обл.
1338,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Тарутинська районна рада,Одеська обл.
1339,Аграрна партія України,8.82,Тарутинська районна рада,Одеська обл.
1340,"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ""",11.54,Савранська районна рада,Одеська обл.
1341,Радикальна партія Олега Ляшка,7.69,Савранська районна рада,Одеська обл.
1342,"Політична Партія ""Опозиційний блок""",7.69,Савранська районна рада,Одеська обл.
1343,Аграрна партія України,11.76,Роздільнянська районна рада,Одеська обл.
