party,result,council
"Політична партія ""Наш край""",  11.76,"Волинська обл., Любомльська районна рада"
Аграрна партія України,   8.82,"Волинська обл., Любомльська районна рада"
"Політична Партія ""Опозиційний блок""",   5.88,"Волинська обл., Ратнівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.08,"Кіровоградська обл., Світловодська районна рада"
"Політична Партія ""Опозиційний блок""",  15.38,"Кіровоградська обл., Світловодська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.54,"Кіровоградська обл., Світловодська районна рада"
Радикальна партія Олега Ляшка,  14.71,"Кіровоградська обл., Маловисківська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Кіровоградська обл., Маловисківська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.08,"Кіровоградська обл., Петрівська районна рада"
Радикальна партія Олега Ляшка,  19.23,"Кіровоградська обл., Петрівська районна рада"
"Політична Партія ""Опозиційний блок""",  15.38,"Кіровоградська обл., Петрівська районна рада"
"Політична Партія ""Опозиційний блок""",  19.23,"Кіровоградська обл., Онуфріївська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""СОЦІАЛІСТИ""",  15.38,"Кіровоградська обл., Онуфріївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.54,"Кіровоградська обл., Онуфріївська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Кіровоградська обл., Онуфріївська районна рада"
"Політична Партія ""Опозиційний блок""",  14.71,"Кіровоградська обл., Олександрійська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Кіровоградська обл., Олександрійська районна рада"
Радикальна партія Олега Ляшка,  14.71,"Кіровоградська обл., Олександрійська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Кіровоградська обл., Олександрійська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.53,"Чернігівська обл., Бахмацька районна рада"
Аграрна партія України,  17.65,"Чернігівська обл., Бахмацька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Чернігівська обл., Бахмацька районна рада"
Радикальна партія Олега Ляшка,  11.76,"Чернігівська обл., Бахмацька районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  17.65,"Львівська обл., Бродівська районна рада"
Радикальна партія Олега Ляшка,  11.76,"Львівська обл., Бродівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Львівська обл., Бродівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Кіровоградська обл., Олександрівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  20.59,"Кіровоградська обл., Олександрівська районна рада"
Аграрна партія України,   8.82,"Кіровоградська обл., Олександрівська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Кіровоградська обл., Олександрівська районна рада"
"Політична партія ""Наш край""",   5.88,"Волинська обл., Рожищенська районна рада"
Партія Пенсіонерів України,   7.69,"Кіровоградська обл., Світловодська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   7.69,"Кіровоградська обл., Світловодська районна рада"
Радикальна партія Олега Ляшка,   7.69,"Кіровоградська обл., Світловодська районна рада"
політична партія Народний Рух України,   3.85,"Кіровоградська обл., Світловодська районна рада"
Радикальна партія Олега Ляшка,   7.69,"Кіровоградська обл., Онуфріївська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   7.69,"Кіровоградська обл., Онуфріївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  29.41,"Чернігівська обл., Ріпкинська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Чернігівська обл., Бахмацька районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Львівська обл., Бродівська районна рада"
політична партія Народний Рух України,   8.82,"Львівська обл., Бродівська районна рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   5.88,"Кіровоградська обл., Олександрівська районна рада"
"Політична Партія ""Опозиційний блок""",   5.88,"Кіровоградська обл., Олександрівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  34.62,"Чернігівська обл., Щорська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.91,"Чернігівська обл., Чернігівська районна рада"
Аграрна партія України,  26.92,"Чернігівська обл., Талалаївська районна рада"
"Політична партія ""Наш край""",  20.59,"Чернігівська обл., Ріпкинська районна рада"
Аграрна партія України,  17.65,"Чернігівська обл., Ріпкинська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  38.46,"Чернігівська обл., Срібнянська районна рада"
Радикальна партія Олега Ляшка,  23.08,"Чернігівська обл., Сосницька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  42.31,"Одеська обл., Ширяївська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Львівська обл., Бродівська районна рада"
"Політична партія ""Громадянська позиція""",   5.88,"Львівська обл., Бродівська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",   5.88,"Львівська обл., Бродівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.08,"Одеська обл., Фрунзівська районна рада"
"Політична партія ""Наш край""",  19.23,"Чернігівська обл., Щорська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.54,"Чернігівська обл., Щорська районна рада"
Аграрна партія України,  11.54,"Чернігівська обл., Щорська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.39,"Чернігівська обл., Чернігівська районна рада"
Радикальна партія Олега Ляшка,  15.22,"Чернігівська обл., Чернігівська районна рада"
Аграрна партія України,  13.04,"Чернігівська обл., Чернігівська районна рада"
"Політична Партія ""Опозиційний блок""",  13.04,"Чернігівська обл., Чернігівська районна рада"
"Політична партія ""Наш край""",  26.92,"Чернігівська обл., Талалаївська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.54,"Чернігівська обл., Талалаївська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Чернігівська обл., Талалаївська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Чернігівська обл., Ріпкинська районна рада"
Радикальна партія Олега Ляшка,   8.82,"Чернігівська обл., Ріпкинська районна рада"
"Політична Партія ""Опозиційний блок""",   5.88,"Чернігівська обл., Ріпкинська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  23.08,"Чернігівська обл., Срібнянська районна рада"
Радикальна партія Олега Ляшка,  19.23,"Чернігівська обл., Срібнянська районна рада"
"Політична партія ""Наш край""",  11.54,"Чернігівська обл., Срібнянська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.23,"Чернігівська обл., Сосницька районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  15.38,"Чернігівська обл., Сосницька районна рада"
"Політична партія ""Наш край""",  15.38,"Чернігівська обл., Сосницька районна рада"
Аграрна партія України,  26.92,"Одеська обл., Ширяївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Одеська обл., Ширяївська районна рада"
"Політична Партія ""Опозиційний блок""",  15.38,"Одеська обл., Ширяївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.08,"Одеська обл., Фрунзівська районна рада"
"Політична Партія ""Опозиційний блок""",  19.23,"Одеська обл., Фрунзівська районна рада"
Аграрна партія України,  11.54,"Одеська обл., Фрунзівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Чернігівська обл., Щорська районна рада"
Радикальна партія Олега Ляшка,   7.69,"Чернігівська обл., Щорська районна рада"
"Політична Партія ""Опозиційний блок""",   3.85,"Чернігівська обл., Щорська районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.70,"Чернігівська обл., Чернігівська районна рада"
"Політична партія ""Наш край""",   8.70,"Чернігівська обл., Чернігівська районна рада"
Радикальна партія Олега Ляшка,  11.54,"Чернігівська обл., Талалаївська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   7.69,"Чернігівська обл., Талалаївська районна рада"
"Політична Партія ""Опозиційний блок""",   3.85,"Чернігівська обл., Талалаївська районна рада"
"Політична партія ""Наш край""",  26.92,"Чернігівська обл., Семенівська районна рада"
Аграрна партія України,   7.69,"Чернігівська обл., Срібнянська районна рада"
"Політична партія ""Сила людей""",   7.69,"Чернігівська обл., Сосницька районна рада"
"Політична Партія ""Опозиційний блок""",   7.69,"Чернігівська обл., Сосницька районна рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   7.69,"Чернігівська обл., Сосницька районна рада"
Радикальна партія Олега Ляшка,   7.69,"Одеська обл., Фрунзівська районна рада"
"Партія ""Відродження""",   7.69,"Одеська обл., Фрунзівська районна рада"
"Політична партія ""Наш край""",   7.69,"Одеська обл., Фрунзівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.23,"Чернігівська обл., Семенівська районна рада"
"Політична Партія ""Опозиційний блок""",  15.38,"Чернігівська обл., Семенівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Чернігівська обл., Семенівська районна рада"
"Політична партія ""Громадянська позиція""",  21.62,"Львівська обл., Яворівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Львівська обл., Турківська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  21.62,"Львівська обл., Стрийська районна рада"
Аграрна партія України,   3.85,"Чернігівська обл., Сосницька районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.00,"Львівська обл., Старосамбірська районна рада"
політична партія Конгрес Українських Націоналістів,  21.62,"Львівська обл., Сокальська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Львівська обл., Сколівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  33.33,"Львівська обл., Самбірська районна рада"
Аграрна партія України,  15.38,"Чернігівська обл., Семенівська районна рада"
Радикальна партія Олега Ляшка,   7.69,"Чернігівська обл., Семенівська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.62,"Львівська обл., Яворівська районна рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  16.22,"Львівська обл., Яворівська районна рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  13.51,"Львівська обл., Яворівська районна рада"
"Політична партія ""Громадянська позиція""",  17.65,"Львівська обл., Турківська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Львівська обл., Турківська районна рада"
"Політична партія ""Воля""",  11.76,"Львівська обл., Турківська районна рада"
"Політична партія ""Громадянська позиція""",  21.62,"Львівська обл., Стрийська районна рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  18.92,"Львівська обл., Стрийська районна рада"
політична партія Народний Рух України,  15.00,"Львівська обл., Старосамбірська районна рада"
