,party,result,council,region
0,"політична партія Всеукраїнське об’єднання ""Батьківщина""",17.65,Хмільницька міська рада,Вінницька обл.
1,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Хмільницька міська рада,Вінницька обл.
2,"політична партія Всеукраїнське об’єднання ""Свобода""",11.76,Хмільницька міська рада,Вінницька обл.
3,"Політична партія ""НОВА ПОЛІТИКА""",11.76,Хмільницька міська рада,Вінницька обл.
4,"Політична Партія ""Опозиційний блок""",73.53,Рубіжанська міська рада,Луганська обл.
5,"політична партія Всеукраїнське об’єднання ""Батьківщина""",20.59,Козятинська міська рада,Вінницька обл.
6,"Політична Партія ""Опозиційний блок""",66.67,Лисичанська міська рада,Луганська обл.
7,"політична партія Всеукраїнське об’єднання ""Батьківщина""",32.35,Могилів-Подільська міська рада,Вінницька обл.
8,"Політична партія ""НОВА ПОЛІТИКА""",20.59,Жмеринська міська рада,Вінницька обл.
9,"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",11.76,Хмільницька міська рада,Вінницька обл.
10,"Політична партія ""Європейська партія України""",8.82,Хмільницька міська рада,Вінницька обл.
11,"ПОЛІТИЧНА ПАРТІЯ ""ВІННИЦЬКА ЄВРОПЕЙСЬКА СТРАТЕГІЯ""",37.04,Вінницька міська рада,Вінницька обл.
12,"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Рубіжанська міська рада,Луганська обл.
13,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Рубіжанська міська рада,Луганська обл.
14,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",17.65,Козятинська міська рада,Вінницька обл.
15,"Політична партія ""Сила людей""",11.76,Козятинська міська рада,Вінницька обл.
16,"Політична партія ""Об’єднання ""САМОПОМІЧ""",11.76,Козятинська міська рада,Вінницька обл.
17,"Політична партія ""Наш край""",26.92,Ладижинська міська рада,Вінницька обл.
18,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",16.67,Лисичанська міська рада,Луганська обл.
19,Радикальна партія Олега Ляшка,8.33,Лисичанська міська рада,Луганська обл.
20,"Політична партія ""Об’єднання ""САМОПОМІЧ""",8.33,Лисичанська міська рада,Луганська обл.
21,"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",23.53,Могилів-Подільська міська рада,Вінницька обл.
22,"Політична Партія ""Опозиційний блок""",11.76,Могилів-Подільська міська рада,Вінницька обл.
