party,result,council,region
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Тернівська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,5.88,Тернівська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",5.88,Димитровська міська рада,Донецька обл.
"Партія ""Відродження""",8.33,Павлоградська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",5.56,Павлоградська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",8.82,Орджонікідзевська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,5.88,Орджонікідзевська міська рада,Дніпропетровська обл.
"Політична Партія ""Опозиційний блок""",26.47,Синельниківська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",11.76,Синельниківська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",11.76,Синельниківська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Батьківщина""",23.81,Житомирська міська рада,Житомирська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",16.67,Житомирська міська рада,Житомирська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",17.65,Першотравенська міська рада,Дніпропетровська обл.
"Партія ""Відродження""",14.71,Першотравенська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",11.76,Першотравенська міська рада,Дніпропетровська обл.
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",5.88,Тернівська міська рада,Дніпропетровська обл.
"Політична партія ""Громадянська позиція""",5.88,Тернівська міська рада,Дніпропетровська обл.
"Політична партія ""Об’єднання ""САМОПОМІЧ""",5.56,Павлоградська міська рада,Дніпропетровська обл.
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",8.82,Синельниківська міська рада,Дніпропетровська обл.
Радикальна партія Олега Ляшка,5.88,Синельниківська міська рада,Дніпропетровська обл.
"політична партія Всеукраїнське об’єднання ""Свобода""",11.9,Житомирська міська рада,Житомирська обл.
