party,result,council
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.33,"Кіровоградська обл., Олександрійська міська рада"
"Політична Партія ""Опозиційний блок""",  26.92,"Одеська обл., Южненська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",   8.82,"Кіровоградська обл., Світловодська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Кіровоградська обл., Світловодська міська рада"
Партія Пенсіонерів України,   8.82,"Кіровоградська обл., Світловодська міська рада"
"Політична Партія ""Опозиційний блок""",  26.47,"Одеська обл., Котовська міська рада"
"Політична Партія ""Опозиційний блок""",  25.00,"Одеська обл., Іллічівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  77.78,"Одеська обл., Ізмаїльська міська рада"
"Політична Партія ""Опозиційний блок""",  35.29,"Одеська обл., Білгород-Дністровська міська рада"
"Політична партія ""КОНКРЕТНИХ СПРАВ""",  23.08,"Одеська обл., Теплодарська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Закарпатська обл., Ужгородська міська рада"
"""КМКС"" Партія угорців України",   5.56,"Закарпатська обл., Ужгородська міська рада"
"Політична партія ""Рідне місто""",  30.56,"Сумська обл., Шосткинська міська рада"
Партія Пенсіонерів України,   5.88,"Кіровоградська обл., Знам'янська міська рада"
"Політична партія ""Воля""",   5.88,"Кіровоградська обл., Знам'янська міська рада"
"Політична партія ""За Україну!""",  17.65,"Сумська обл., Роменська міська рада"
Радикальна партія Олега Ляшка,   7.14,"Кіровоградська обл., Кіровоградська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   4.76,"Кіровоградська обл., Кіровоградська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Київська обл., Обухівська міська рада"
Радикальна партія Олега Ляшка,   5.88,"Київська обл., Обухівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  19.23,"Одеська обл., Южненська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.23,"Одеська обл., Южненська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Одеська обл., Котовська міська рада"
"Партія ""Відродження""",  17.65,"Одеська обл., Котовська міська рада"
"Партія ""Відродження""",  25.00,"Одеська обл., Іллічівська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  22.22,"Одеська обл., Іллічівська міська рада"
"Політична Партія ""Опозиційний блок""",  22.22,"Одеська обл., Ізмаїльська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  26.47,"Одеська обл., Білгород-Дністровська міська рада"
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",  11.76,"Одеська обл., Білгород-Дністровська міська рада"
"Політична Партія ""Опозиційний блок""",  19.23,"Одеська обл., Теплодарська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  15.38,"Одеська обл., Теплодарська міська рада"
Народна Партія,  15.38,"Одеська обл., Теплодарська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  13.89,"Сумська обл., Шосткинська міська рада"
"Політична партія ""Наш край""",  11.11,"Сумська обл., Шосткинська міська рада"
Радикальна партія Олега Ляшка,  17.65,"Сумська обл., Роменська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.71,"Сумська обл., Роменська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  14.71,"Сумська обл., Роменська міська рада"
Аграрна партія України,  11.54,"Одеська обл., Южненська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   7.69,"Одеська обл., Южненська міська рада"
"Політична партія ""Наш край""",   7.69,"Одеська обл., Южненська міська рада"
"Політична партія ""Наш край""",   8.82,"Одеська обл., Котовська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Одеська обл., Котовська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Одеська обл., Котовська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.11,"Одеська обл., Іллічівська міська рада"
Молодіжна партія України,   8.33,"Одеська обл., Іллічівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Одеська обл., Іллічівська міська рада"
"Політична партія ""Наш край""",   8.82,"Одеська обл., Білгород-Дністровська міська рада"
"Партія ""Відродження""",   8.82,"Одеська обл., Білгород-Дністровська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Одеська обл., Білгород-Дністровська міська рада"
Українська морська партія Сергія Ківалова,  15.38,"Одеська обл., Теплодарська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.54,"Одеська обл., Теплодарська міська рада"
"Політична Партія ""Опозиційний блок""",  11.11,"Сумська обл., Шосткинська міська рада"
Радикальна партія Олега Ляшка,   8.33,"Сумська обл., Шосткинська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   8.33,"Сумська обл., Шосткинська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  11.76,"Сумська обл., Роменська міська рада"
"Партія ""Відродження""",  11.76,"Сумська обл., Роменська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   8.82,"Сумська обл., Роменська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Полтавська обл., Миргородська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Полтавська обл., Лубенська міська рада"
"Партія ""Відродження""",   7.69,"Одеська обл., Южненська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.53,"Сумська обл., Охтирська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Одеська обл., Котовська міська рада"
"Політична партія ""Громадянська позиція""",  20.59,"Сумська обл., Лебединська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  43.33,"Україна, Київська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПОРУЧ""",  16.67,"Полтавська обл., Кременчуцька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  50.00,"Полтавська обл., Комсомольська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  19.05,"Полтавська обл., Полтавська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.33,"Сумська обл., Шосткинська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.33,"Сумська обл., Шосткинська міська рада"
"Партія ""Відродження""",  11.76,"Полтавська обл., Миргородська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Полтавська обл., Миргородська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.76,"Полтавська обл., Миргородська міська рада"
"Політична партія ""Рідне місто""",  11.76,"Полтавська обл., Миргородська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Полтавська обл., Лубенська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  11.76,"Полтавська обл., Лубенська міська рада"
"Політична Партія ""Опозиційний блок""",  11.76,"Полтавська обл., Лубенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",  11.76,"Полтавська обл., Лубенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  17.65,"Сумська обл., Охтирська міська рада"
"Партія ""Відродження""",  11.76,"Сумська обл., Охтирська міська рада"
Радикальна партія Олега Ляшка,  11.76,"Сумська обл., Охтирська міська рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Сумська обл., Охтирська міська рада"
"Політична партія ""Сила людей""",   8.82,"Сумська обл., Охтирська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  20.59,"Сумська обл., Лебединська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  17.65,"Сумська обл., Лебединська міська рада"
Радикальна партія Олега Ляшка,  14.71,"Сумська обл., Лебединська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",  11.76,"Сумська обл., Лебединська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  18.33,"Україна, Київська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  14.17,"Україна, Київська міська рада"
"Українська партія ""Єдність""",  12.50,"Україна, Київська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  11.67,"Україна, Київська міська рада"
"Політична Партія ""Опозиційний блок""",  16.67,"Полтавська обл., Кременчуцька міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.29,"Полтавська обл., Кременчуцька міська рада"
"Політична партія ""Рідне місто""",  14.29,"Полтавська обл., Кременчуцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.90,"Полтавська обл., Кременчуцька міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   9.52,"Полтавська обл., Кременчуцька міська рада"
"Політична Партія ""Опозиційний блок""",  17.65,"Полтавська обл., Комсомольська міська рада"
"Політична партія ""Наш край""",   8.82,"Полтавська обл., Комсомольська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   8.82,"Полтавська обл., Комсомольська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Полтавська обл., Комсомольська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",   5.88,"Полтавська обл., Комсомольська міська рада"
"Політична партія ""Совість України""",  16.67,"Полтавська обл., Полтавська міська рада"
"Політична партія ""Рідне місто""",  16.67,"Полтавська обл., Полтавська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  14.29,"Полтавська обл., Полтавська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.90,"Полтавська обл., Полтавська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",  11.76,"Полтавська обл., Миргородська міська рада"
Радикальна партія Олега Ляшка,   8.82,"Полтавська обл., Миргородська міська рада"
"Політична партія Всеукраїнське об’єднання ""Громада""",   8.82,"Полтавська обл., Миргородська міська рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Полтавська обл., Миргородська міська рада"
"Партія ""Відродження""",   8.82,"Полтавська обл., Лубенська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",   8.82,"Полтавська обл., Лубенська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",   8.82,"Полтавська обл., Лубенська міська рада"
"Політична партія ""Рідне місто""",   5.88,"Полтавська обл., Лубенська міська рада"
Народна Партія,   8.82,"Сумська обл., Охтирська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   8.82,"Сумська обл., Охтирська міська рада"
"Політична Партія ""Опозиційний блок""",   8.82,"Сумська обл., Лебединська міська рада"
"Партія ""Відродження""",   5.88,"Сумська обл., Лебединська міська рада"
Радикальна партія Олега Ляшка,   9.52,"Полтавська обл., Кременчуцька міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   7.14,"Полтавська обл., Кременчуцька міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ПАРТІЯ ПРОСТИХ ЛЮДЕЙ СЕРГІЯ КАПЛІНА""",  11.90,"Полтавська обл., Полтавська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",   9.52,"Полтавська обл., Полтавська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",   5.88,"Полтавська обл., Лубенська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""ГРОМАДСЬКИЙ РУХ ""НАРОДНИЙ КОНТРОЛЬ"" ",  20.59,"Рівненська обл., Кузнецовська міська рада"
"Політична партія ""ДОВІРЯЙ ДІЛАМ""",  42.19,"Одеська обл., Одеська міська рада"
"політична партія Всеукраїнське об’єднання ""Свобода""",  22.22,"Сумська обл., Конотопська міська рада"
"Політична партія ""Воля народу"" ",  38.24,"Сумська обл., Глухівська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  42.86,"Сумська обл., Сумська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  23.08,"Полтавська обл., Гадяцька міська рада"
"Політична партія ""Воля""",  19.23,"Івано-Франківська обл., Яремчанська міська рада"
"Політична партія ""Об’єднання ""САМОПОМІЧ""",  20.59,"Івано-Франківська обл., Коломийська міська рада"
"Політична партія ""Сила людей""",  17.65,"Рівненська обл., Кузнецовська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  14.71,"Рівненська обл., Кузнецовська міська рада"
Українська Народна Партія,  11.76,"Рівненська обл., Кузнецовська міська рада"
"ПОЛІТИЧНА ПАРТІЯ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП""",  11.76,"Рівненська обл., Кузнецовська міська рада"
"політична партія Всеукраїнське об’єднання ""Батьківщина""",  11.76,"Рівненська обл., Кузнецовська міська рада"
"ПАРТІЯ ""БЛОК ПЕТРА ПОРОШЕНКА ""СОЛІДАРНІСТЬ""",  21.88,"Одеська обл., Одеська міська рада"
"Політична Партія ""Опозиційний блок""",  18.75,"Одеська обл., Одеська міська рада"
Українська морська партія Сергія Ківалова,   9.38,"Одеська обл., Одеська міська рада"
